nu,trial,method,SHD,F1,TPR,FDR,NMI,ARI
10,1,TRACED,23.0,0.09557945041816007,0.5333333333333333,0.9434343434343435,0.5911148482536762,0.5179149261497649
10,2,Single DAG,25.0,0.18508000901510027,1.0,0.8928571428571429,0.0,0.0
10,2,Gaussian HMM,23.666666666666668,0.16316436251920122,0.8888888888888888,0.9053354804079441,0.7334815419859915,0.7540100351276481
10,2,TRACED,17.0,0.1212121212121212,0.3333333333333333,0.9259259259259259,0.6447454572909566,0.44780819737605315
10,3,Single DAG,24.666666666666668,0.24027777777777778,0.9166666666666666,0.8571428571428572,0.0,0.0
10,3,Gaussian HMM,20.333333333333332,0.21298701298701297,0.6904761904761904,0.8699042291719637,0.8095563464498061,0.8500157174817293
10,3,TRACED,18.666666666666668,0.21093285799168152,0.6547619047619048,0.868561872909699,0.7191870336075266,0.6000076737674791
10,4,Single DAG,3.3333333333333335,0.0,0.0,0.0,0.0,0.0
10,4,Gaussian HMM,3.3333333333333335,0.0,0.0,0.0,0.005896585047319197,2.4080170746577745e-05
10,5,Single DAG,22.0,0.2528735632183909,0.9166666666666666,0.8533333333333334,0.0,0.0
10,5,Gaussian HMM,20.333333333333332,0.14090782511835143,0.4166666666666667,0.9146916737709576,0.4959723794165635,0.4808642962190096
10,5,TRACED,12.0,0.1911111111111111,0.4166666666666667,0.8690476190476191,0.6447117803217242,0.4432397324752248
10,6,Single DAG,23.333333333333332,0.2325268817204301,0.5634920634920635,0.8533333333333334,0.0,0.0
10,6,Gaussian HMM,22.666666666666668,0.16602809706257982,0.35714285714285715,0.8917748917748919,0.5943176343935135,0.5010125291883729
10,6,TRACED,16.666666666666668,0.32083333333333336,1.0,0.8011111111111111,0.995621984883906,0.9980006680022231
10,7,Single DAG,25.0,0.24134729649435535,1.0,0.8620689655172414,0.0,0.0
10,7,Gaussian HMM,18.666666666666668,0.2546332894158981,0.8055555555555555,0.8486289252543123,0.5750119668548795,0.5185329989074717
10,7,TRACED,25.333333333333332,0.1780116435288849,0.7000000000000001,0.8965217391304349,0.9976006833367455,0.9989998331666945
10,8,Single DAG,27.666666666666668,0.14443063098431808,0.7777777777777777,0.9166666666666666,0.0,0.0
10,8,Gaussian HMM,17.0,0.20709008240977553,0.7222222222222223,0.8684463684463685,0.5364466660271596,0.47348716253361545
10,8,TRACED,19.333333333333332,0.14518518518518517,0.7222222222222223,0.9074074074074074,0.5812758299732175,0.5027889984498186
10,9,Single DAG,3.6666666666666665,0.0,0.0,0.0,0.0,0.0
10,9,Gaussian HMM,3.6666666666666665,0.0,0.0,0.0,0.0032988825092680617,7.125357058363967e-06
10,9,TRACED,3.6666666666666665,0.0,0.0,0.0,0.0,0.0
15,0,Single DAG,24.666666666666668,0.29391891891891886,1.0,0.8222222222222223,0.0,0.0
15,0,Gaussian HMM,7.666666666666667,0.15384615384615385,0.2857142857142857,0.2280701754385965,0.05997507166908381,0.0025673389670521716
15,0,TRACED,16.0,0.0861111111111111,0.38095238095238093,0.6027777777777777,0.05718349772324155,0.003965853154676323
15,1,Single DAG,24.666666666666668,0.2099706744868035,1.0,0.8809523809523809,0.0,0.0
15,1,Gaussian HMM,22.333333333333332,0.16352413019079684,0.6555555555555556,0.9060846560846559,0.8466250346852161,0.866321878576247
15,1,TRACED,22.0,0.17023809523809522,0.7111111111111111,0.9001989201477691,0.6482574413980591,0.4460939924665477
15,2,Single DAG,17.666666666666668,0.2993894993894994,0.8015873015873015,0.8070175438596491,0.0,0.0
15,2,Gaussian HMM,16.0,0.14814814814814814,0.20634920634920637,0.8838383838383838,0.7448350002613817,0.787806531071012
15,2,TRACED,15.666666666666666,0.17543859649122806,0.2619047619047619,0.8675213675213675,0.9932229717229928,0.9970015018359176
15,3,Single DAG,24.666666666666668,0.2961950330371383,1.0,0.8222222222222223,0.0,0.0
15,3,Gaussian HMM,23.666666666666668,0.3057603057603058,1.0,0.8151888341543514,0.5589894867437714,0.40914232160889985
15,3,TRACED,24.666666666666668,0.26213517665130565,0.85,0.8408289241622575,0.6475435204806567,0.4443876223202359
15,4,Single DAG,20.0,0.19927536231884058,0.5333333333333333,0.8771929824561403,0.0,0.0
15,4,Gaussian HMM,17.333333333333332,0.17845117845117842,0.39999999999999997,0.8844118844118846,0.8136273059896115,0.8386665694033673
15,4,TRACED,16.333333333333332,0.21192982456140355,0.5166666666666667,0.8666666666666667,0.9976006833367457,0.9989998331666945
15,5,Single DAG,24.666666666666668,0.15862068965517243,1.0,0.9135802469135803,0.0,0.0
15,5,Gaussian HMM,22.0,0.0993103448275862,0.5555555555555555,0.9450056116722784,0.5608437660429787,0.5738781855091538
15,5,TRACED,20.666666666666668,0.15819377990430622,0.8333333333333334,0.9125760649087221,0.9938020438534206,0.9970025055062443
15,6,Single DAG,22.333333333333332,0.3066097406704617,0.9333333333333332,0.8148148148148149,0.0,0.0
15,6,Gaussian HMM,19.666666666666668,0.3126220016542597,0.8190476190476191,0.8055555555555555,0.6103783450964846,0.43195706709059484
15,6,TRACED,18.0,0.32779769016328153,0.8023809523809525,0.7935606060606061,0.6475520888746006,0.44440817805930616
15,7,Single DAG,27.333333333333332,0.1527777777777778,0.6666666666666666,0.9111111111111111,0.0,0.0
15,7,Gaussian HMM,25.333333333333332,0.14833333333333334,0.5555555555555555,0.9076023391812865,0.6258021724111887,0.61103657192475
15,7,TRACED,28.333333333333332,0.12009803921568628,0.5555555555555555,0.9301587301587301,0.6503062787446207,0.4642292493739673
15,8,Single DAG,22.666666666666668,0.19400352733686066,0.7777777777777777,0.8888888888888888,0.0,0.0
15,8,Gaussian HMM,20.0,0.19128466327108093,0.6666666666666666,0.8881172839506174,0.8636582243457949,0.901475919730023
15,8,TRACED,23.0,0.12222222222222222,0.3611111111111111,0.9251543209876543,0.9976006833367457,0.9989998331666945
15,9,Single DAG,23.333333333333332,0.16843033509700175,0.6388888888888888,0.9027777777777777,0.0,0.0
15,9,Gaussian HMM,16.0,0.17017543859649123,0.4444444444444444,0.8944444444444445,0.6244109772523003,0.642401490003708
15,9,TRACED,14.666666666666666,0.08695652173913043,0.25,0.9473684210526315,0.6071735968931479,0.46108419400314826
30,0,Single DAG,22.0,0.13203463203463203,0.4583333333333333,0.9166666666666666,0.0,0.0
30,0,Gaussian HMM,17.0,0.14302422723475358,0.7083333333333334,0.9107997265892003,0.9028599018197554,0.9327816392973982
